LSOA_Code,LSOA_Name
E01000388,Bexley 016A
E01000389,Bexley 020E
E01000390,Bexley 020F
E01000391,Bexley 021E
E01000392,Bexley 016B
E01000393,Bexley 020G
E01000394,Bexley 015E
E01000395,Bexley 018B
E01000396,Bexley 018C
E01000398,Bexley 029A
E01000399,Bexley 029B
E01000400,Bexley 029C
E01000401,Bexley 013A
E01000402,Bexley 005B
E01000403,Bexley 004A
E01000404,Bexley 004B
E01000405,Bexley 004C
E01000406,Bexley 005C
E01000407,Bexley 005D
E01000408,Bexley 004D
E01000409,Bexley 016C
E01000410,Bexley 018D
E01000411,Bexley 016D
E01000412,Bexley 018E
E01000413,Bexley 018F
E01000414,Bexley 016E
E01000415,Bexley 016F
E01000416,Bexley 002A
E01000417,Bexley 006B
E01000418,Bexley 002B
E01000419,Bexley 006C
E01000420,Bexley 006D
E01000421,Bexley 009D
E01000422,Bexley 002C
E01000423,Bexley 025C
E01000424,Bexley 026A
E01000425,Bexley 025D
E01000426,Bexley 026B
E01000427,Bexley 026C
E01000428,Bexley 027D
E01000429,Bexley 008B
E01000430,Bexley 008C
E01000431,Bexley 008D
E01000432,Bexley 008E
E01000433,Bexley 008F
E01000434,Bexley 008G
E01000435,Bexley 010E
E01000436,Bexley 011E
E01000437,Bexley 007A
E01000438,Bexley 007B
E01000439,Bexley 007C
E01000440,Bexley 007D
E01000441,Bexley 007E
E01000442,Bexley 006E
E01000443,Bexley 024B
E01000444,Bexley 023B
E01000445,Bexley 024C
E01000446,Bexley 024D
E01000447,Bexley 023C
E01000448,Bexley 023D
E01000449,Bexley 023E
E01000450,Bexley 009E
E01000451,Bexley 009F
E01000452,Bexley 009G
E01000453,Bexley 013B
E01000454,Bexley 013C
E01000455,Bexley 013D
E01000456,Bexley 013E
E01000457,Bexley 026D
E01000458,Bexley 027E
E01000459,Bexley 027F
E01000460,Bexley 022E
E01000461,Bexley 024E
E01000462,Bexley 026E
E01000463,Bexley 025E
E01000464,Bexley 002D
E01000465,Bexley 002E
E01000466,Bexley 001A
E01000467,Bexley 001B
E01000468,Bexley 001C
E01000469,Bexley 001D
E01000470,Bexley 002F
E01000471,Brent 026A
E01000472,Brent 029A
E01000473,Brent 029B
E01000474,Brent 026B
E01000475,Brent 029C
E01000476,Brent 026C
E01000477,Brent 026D
E01000478,Brent 029D
E01000479,Brent 009A
E01000480,Brent 006A
E01000481,Brent 009B
E01000482,Brent 009C
E01000483,Brent 009D
E01000484,Brent 006B
E01000485,Brent 006C
E01000486,Brent 006D
E01000487,Brent 006E
E01000488,Brent 022A
E01000489,Brent 030A
E01000490,Brent 023A
E01000491,Brent 030B
E01000492,Brent 030C
E01000493,Brent 030D
E01000494,Brent 023B
E01000495,Brent 023C
E01000497,Brent 011A
E01000498,Brent 010B
E01000499,Brent 011B
E01000501,Brent 011C
E01000502,Brent 011D
E01000503,Brent 011E
E01000504,Brent 018A
E01000505,Brent 018B
E01000506,Brent 014A
E01000507,Brent 018C
E01000508,Brent 025A
E01000509,Brent 014B
